TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
tare,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
targed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
targing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tarloch,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tarnishable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tarnished,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Tarquinish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tarradiddle,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tarring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tarrowing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tarry-fingered,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tart,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Tartar,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tartish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tartufish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tashed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tashing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tasked,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tassel,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tasteful,Allport Odbert - Column I,Norman - category 3; form 13,not included,included,,,,,,,,
tasteless,Allport Odbert - Column I,Norman - category 3; form 14,not included,included,,,,,,,,
tasty,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tatter,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tatterdemalion,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tattered,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tattering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tatterwallop,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tattletale,Allport Odbert - Column I,Norman - category 3; form 11,not included,not included,,,,,,,,
tattling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
taunter,not included,Norman - category 3; form 12,not included,not included,,,,,,,,
taunting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
taurine,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
taut,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tautological,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
taverner,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tavert,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
taving,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tawdry,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tawning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tawny,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tawpie,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
taxed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
taxing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
te-heeing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
teachable,Allport Odbert - Column I,Norman - category 3; form 13,not included,included,,,,,,,,
teachless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
teamwork,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tear-falling,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tearful,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tearing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tearless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tearmouth,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
teary,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
teasable,Allport Odbert - Column I,Norman - category 3; form 14,not included,not included,,,,,,,,
teaser,not included,Norman - category 3; form 11,not included,not included,,,,,,,,
teasing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
teaty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
technical,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
techy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tedious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
teeming,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
teemless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
teened,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
teening,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
teethy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
teeting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
teetotaler,Allport Odbert - Column I,Norman - category 1; form 12,not included,not included,,,,,,,,
telary,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
telegrammic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
teleologist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
telepathist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
telescopic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
telestic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
telling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
telltale,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
telluric,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
temerarious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
temperamental,Allport Odbert - Column I,Norman - category 1; form 13,not included,included,,,,,,,,
temperate,Allport Odbert - Column I,Norman - category 3; form 14,not included,included,,,,,,,,
tempered,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
temperless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tempestuous,Allport Odbert - Column I,Norman - category 2; form 11,not included,included,,,,,,,,
temporal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
temporizer,not included,Norman - category 3; form 12,not included,not included,,,,,,,,
temporizing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
temptable,Allport Odbert - Column I,Norman - category 3; form 13,not included,included,,,,,,,,
temptationless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tempted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tempting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
temulent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tenacious,Allport Odbert - Column I,Norman - category 2; form 14,not included,included,,,,,,,,
tended,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tender,Allport Odbert - Column I,Norman - category 3; form 11,not included,included,,,,,,,,
tender-hearted,Allport Odbert - Column I,Norman - category 1; form 12,not included,included,,,,,,,,
tenderling,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tenderminded,not included,Norman - category 3; form 13,not included,included,,,,,,,,
tendersome,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tending,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tendinous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tendril,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tenebrific,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tenebrous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Tennysonian,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tenor,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tense,Allport Odbert - Column I,not included,not included,included,,,,,,,,
tensile,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tentative,not included,Norman - category 3; form 14,not included,included,,,,,,,,
tentless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tenty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tenuous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tepid,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
teratoid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Terentian,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tergant,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tergiversating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
termagant,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
termless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
terrene,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
terrestrial,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
terrible,Allport Odbert - Column III,not included,included,not included,,,,,,,,
terricolous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
terrific,Allport Odbert - Column III,not included,included,not included,,,,,,,,
terrified,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
terrifying,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
terrigenous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
terrorized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
terrorizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
terrorless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
terse,Allport Odbert - Column I,Norman - category 2; form 11,not included,included,,,,,,,,
terving,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tested,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
testy,Allport Odbert - Column I,Norman - category 2; form 12,not included,included,,,,,,,,
Teutonic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tewed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tewing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tewly,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
textiferous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
textualist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
textureless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thalian,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thankful,Allport Odbert - Column I,not included,included,not included,,,,,,,,
thankless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thankworthy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tharf,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thaumaturgic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thawed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thawing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thawless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thearchic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
theatrical,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
theistic,Allport Odbert - Column I,Norman - category 3; form 13,not included,not included,,,,,,,,
theologaster,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
theomachist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
theomanic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
theomorphic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theopathetic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theophilanthropic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
theopneustic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theoretic,Allport Odbert - Column I,Norman - category 3; form 14,not included,not included,,,,,,,,
theorizing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
therapeutic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
therianthropic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theriodic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thermogenic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thermophilic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
theroid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theromorphic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thersitical,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Thestylis,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
theurgist,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thewless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thewy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thick,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thick-and-thin,Allport Odbert - Column I,Norman - category 3; form 11,not included,not included,,,,,,,,
thick-headed,Allport Odbert - Column III,Norman - category 3; form 12,not included,included,,,,,,,,
thick-skinned,Allport Odbert - Column I,Norman - category 3; form 13,not included,included,,,,,,,,
thick-skulled,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thick-witted,Allport Odbert - Column III,Norman - category 3; form 14,not included,included,,,,,,,,
thickish,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thickset,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thieveless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thievish,Allport Odbert - Column I,Norman - category 3; form 11,not included,not included,,,,,,,,
thin,Allport Odbert - Column IV,not included,included,not included,,,,,,,,
thin-skinned,Allport Odbert - Column I,Norman - category 3; form 12,not included,included,,,,,,,,
thingy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thinking,Allport Odbert - Column II,not included,included,not included,,,,,,,,
third-class,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
third-rate,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thirl,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thirled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thirling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thistly,Allport Odbert - Column I,Norman - category 3; form 13,not included,not included,,,,,,,,
tholing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thooid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thornless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thorny,Allport Odbert - Column IV,Norman - category 3; form 14,not included,not included,,,,,,,,
thorough,Allport Odbert - Column I,Norman - category 1; form 11,not included,included,,,,,,,,
thoroughbred,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thoroughgoing,Allport Odbert - Column I,Norman - category 3; form 12,not included,included,,,,,,,,
thoroughpaced,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thoroughsped,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thoughtful,Allport Odbert - Column I,Norman - category 1; form 13,not included,included,,,,,,,,
thoughtless,Allport Odbert - Column I,Norman - category 1; form 14,not included,included,,,,,,,,
thoughtsick,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thoughty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thrall,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thrall-less,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thrashing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thrasonical,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thraw-gabbit,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thrawart,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thrawn,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
threadbare,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
threaping,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
threatenable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
threatening,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
threatless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
three-square,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
three-suited,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
threepenny,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
threnetic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thriftless,Allport Odbert - Column I,Norman - category 3; form 11,not included,included,,,,,,,,
thrifty,Allport Odbert - Column I,Norman - category 1; form 12,not included,included,,,,,,,,
thrilled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thrillful,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thrilling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thrimbling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thrimping,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thrippling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thristing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thriving,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
throaty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
throbbing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
throbless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
throeing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
throng,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
through-other,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
throughganging,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
throughgoing,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
throwster,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thrummy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thug,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thumbless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
thumping,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thunderbolt,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
thundering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thunderless,Allport Odbert - Column III,Norman - category 3; form 13,not included,not included,,,,,,,,
thunderous,Allport Odbert - Column III,Norman - category 3; form 14,not included,not included,,,,,,,,
thundery,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thwarted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
thwarting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
thwartover,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tickle,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tickled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tickling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ticklish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tid,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tiddling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tiddling,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tidy,Allport Odbert - Column I,Norman - category 1; form 11,not included,included,,,,,,,,
tiffing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tiffish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tiger-footed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tigerish,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tight,Allport Odbert - Column I,not included,not included,included,,,,,,,,
tight-lipped,not included,Norman - category 3; form 12,not included,included,,,,,,,,
tightish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tightwad,not included,Norman - category 3; form 13,not included,not included,,,,,,,,
tilting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tilty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
timbertuned,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
timeless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
timepleaser,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
timeserving,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
timeworn,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
timid,Allport Odbert - Column I,Norman - category 1; form 14,not included,included,,,,,,,,
timorous,Allport Odbert - Column I,Norman - category 2; form 11,not included,included,,,,,,,,
timorsome,Allport Odbert - Column I,Norman - category 3; form 12,not included,not included,,,,,,,,
tinclad,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tindery,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tingling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tinhorn,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tinkerly,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tinkling,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tinpot,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tinsel,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tintinnabulary,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tintless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tiny,Allport Odbert - Column IV,not included,included,not included,,,,,,,,
tippling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tippy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tippybob,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tipsy,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tiptoe,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tiptop,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tiptopper,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tired,Allport Odbert - Column II,not included,included,not included,,,,,,,,
tireless,Allport Odbert - Column I,Norman - category 1; form 13,not included,included,,,,,,,,
tiresome,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tirlie-wirlie,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tiry,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tissuey,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
titanic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
titillated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
titillative,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
titivated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
titivating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tittering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tittle-tattling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tittupy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
titubant,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
toad-spotted,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toadeater,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toadish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toady,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
toadying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tobyman,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tod,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
toddling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
togated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toil-worn,Allport Odbert - Column IV,Norman - category 3; form 14,not included,not included,,,,,,,,
toiling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
toilless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toiting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
toitish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tolerable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tolerant,Allport Odbert - Column I,Norman - category 1; form 11,not included,included,,,,,,,,
tolling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Tolstoyan,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
toltering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
Tom o'Bedlam,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tomboy,Allport Odbert - Column I,Norman - category 3; form 12,not included,not included,,,,,,,,
tomfool,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tomfoolish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tommy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tomnoddy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toneless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tongue-ferdy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tongue-tacked,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tongue-tied,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tonguedoughty,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tongueless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tonguester,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tonguey,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tonnish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tony,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tool,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toom,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toot,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toot-mooting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
toothsome,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toothy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
tooting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
top-heavy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
top-rung,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toper,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
topgallant,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
tophaceous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
topless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toplofty,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
topnotch,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
topping,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
toppy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
topsy-turvy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
torch-bearing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
torfeling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
toring,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tormentatious,Allport Odbert - Column III,Norman - category 3; form 13,not included,not included,,,,,,,,
tormented,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tormenting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
torn-down,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tornado,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
torpedinous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
torpescent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
torpid,Allport Odbert - Column I,Norman - category 2; form 14,not included,not included,,,,,,,,
torpifying,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
torrential,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
torrid,Allport Odbert - Column IV,Norman - category 3; form 11,not included,not included,,,,,,,,
tortious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tortuous,Allport Odbert - Column I,Norman - category 3; form 12,not included,not included,,,,,,,,
torturable,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Tory,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tosh,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tossicated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tossy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tosy,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
totling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tottery,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tottling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tottlish,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
touchable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
touched,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
touching,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
touchy,Allport Odbert - Column I,Norman - category 1; form 13,not included,included,,,,,,,,
tough,Allport Odbert - Column I,Norman - category 3; form 14,not included,included,,,,,,,,
tough-minded,not included,Norman - category 3; form 12,not included,included,,,,,,,,
toughened,Allport Odbert - Column IV,Norman - category 3; form 11,not included,not included,,,,,,,,
toughish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
tousing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
tousled,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
