TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
amorevolous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
amorous,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
amorphic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
amorphous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
amort,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
amphibious,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
amplifying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
ampullous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
amurcous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
amusing,Allport Odbert - Column III,not included,included,not included,,,,,,,,
anachronistic,Allport Odbert - Column III,Norman - category 2; form 4,not included,not included,,,,,,,,
anachronous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
anal,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
analgesic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
analytical,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
anarchistic,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
ancestral,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
anchor,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ancient,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ancipital,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
andante,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
anecdotal,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
angelic,Allport Odbert - Column III,Norman - category 3; form 2,not included,included,,,,,,,,
angler,Allport Odbert - Column IV,Norman - category 3; form 3,not included,not included,,,,,,,,
Anglican,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
Anglo-Catholic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
angry,Allport Odbert - Column II,not included,included,not included,,,,,,,,
anguine,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
anguished,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
angular,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
angulate,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
anile,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
animal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
animal-spirits,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
animated,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
animating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
animative,Allport Odbert - Column III,Norman - category 3; form 5,not included,not included,,,,,,,,
animose,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
anisometric,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
annihilative,not included,Norman - category 3; form 12,not included,not included,,,,,,,,
annoyed,Allport Odbert - Column II,not included,included,not included,,,,,,,,
annoying,Allport Odbert - Column III,not included,included,not included,,,,,,,,
anomalous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
anormal,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
answerable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
antagonistic,not included,Norman - category 1; form 13,not included,included,,,,,,,,
antagonizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
anthropoid,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
antialcoholic,Allport Odbert - Column III,Norman - category 3; form 1,not included,not included,,,,,,,,
anticipative,Allport Odbert - Column I,Norman - category 2; form 2,not included,included,,,,,,,,
antiquarian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
antiquated,Allport Odbert - Column III,Norman - category 2; form 3,not included,not included,,,,,,,,
antisocial,Allport Odbert - Column III,Norman - category 3; form 4,not included,included,,,,,,,,
antrorse,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
anxious,Allport Odbert - Column II,not included,not included,included,,,,,,,,
anythingarian,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Apache,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
apathetic,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
aphasic,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aphonic,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
aphoristic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
aphrodisiac,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
aping,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
apish,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
aplastic,Allport Odbert - Column III,Norman - category 3; form 2,not included,not included,,,,,,,,
aplomb,Allport Odbert - Column I,Norman - category 2; form 3,not included,not included,,,,,,,,
apocryphal,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
apodal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
apolaustic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
apolitical,not included,Norman - category 3; form 14,not included,not included,,,,,,,,
Apollonian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
apologetic,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
apoplectic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
aposematic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
apostate,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
apostic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
apothegmatic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
appalled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
appalling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
apparent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
