TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
big,7.68394136428833,-21.413625717163086,14.130430221557617,10.693557739257812,15.489416122436523,,,,,
big-headed,-22.103532791137695,-21.64847755432129,10.26368236541748,-6.21825647354126,-28.377906799316406,,,,,
big-hearted,48.752479553222656,-29.570905685424805,-15.74429702758789,-13.38304615020752,-12.248868942260742,,,,,
big-mouthed,-15.40627384185791,-20.435609817504883,-19.939064025878906,-5.76699686050415,-19.786231994628906,,,,,
bigoted,-44.3709716796875,0.5531278848648071,8.269229888916016,-19.209871292114258,-14.097177505493164,-0.34,0.02,-0.07,0.05,-0.17
bilious,-41.57572555541992,-5.583262920379639,-13.509562492370605,-10.661551475524902,8.968323707580566,,,,,
bitter,-38.11125946044922,10.805471420288086,20.50612449645996,-26.43662452697754,3.5472543239593506,-0.35,-0.21,-0.06,0.27,0.06
bizarre,-23.464534759521484,-22.726802825927734,-3.040945291519165,4.835375785827637,28.447673797607422,,,,,
blaming,-40.11534118652344,4.355645179748535,5.055795192718506,-22.177438735961914,2.8913424015045166,,,,,
bland,7.847842216491699,53.00835037231445,-19.03797149658203,16.151737213134766,-11.155183792114258,-0.02,-0.44,0.07,-0.09,-0.19
blasé,12.535799026489258,8.081476211547852,-36.95403289794922,21.011220932006836,-32.43738555908203,,,,,
blasphemous,-45.4476432800293,-19.633962631225586,-1.7791469097137451,-7.185904502868652,7.792088031768799,,,,,
bleak,-28.000829696655273,37.22281265258789,12.884138107299805,-8.782596588134766,16.774192810058594,,,,,
blind,-23.503944396972656,13.053143501281738,-24.31882095336914,11.404470443725586,13.566732406616211,,,,,
blithe,26.217308044433594,-33.86855697631836,-26.320470809936523,21.757131576538086,-33.0751838684082,,,,,
blunt,-12.364161491394043,-0.36079901456832886,24.3541316986084,15.482878684997559,-30.25873565673828,,,,,
blunt-witted,-15.809158325195312,9.329689025878906,2.1031761169433594,15.302604675292969,-32.90591049194336,,,,,
blustery,-30.65606689453125,-7.971812725067139,10.550880432128906,-5.24600076675415,5.223020076751709,,,,,
boastful,-14.57046890258789,-39.964073181152344,12.806458473205566,-9.767638206481934,-37.77988815307617,-0.32,0.29,-0.1,0.17,-0.14
boastless,32.97063446044922,31.671615600585938,-18.338592529296875,3.6587424278259277,-20.776020050048828,,,,,
boisterous,3.8729372024536133,-56.16794967651367,-3.8090784549713135,7.131082057952881,-22.715776443481445,-0.15,0.42,-0.15,-0.01,-0.07
bold,13.581035614013672,-45.74435806274414,23.12272071838379,16.812894821166992,-10.54946231842041,-0.18,0.53,0.03,-0.19,0.05
bombastic,-13.195490837097168,-45.52854537963867,6.997105598449707,8.78111743927002,-8.69365119934082,,,,,
bookish,25.852624893188477,39.11213302612305,1.099867582321167,-23.465700149536133,-4.697629451751709,,,,,
