TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
soft-spoken,5.20,1161,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,18747,speaking with a quiet or mild voice.,48,,,,,
soldierly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,63267,disciplined and martial.,67,,,,,
solemn,3.50,1162,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,12416,"serious or grave in appearance, sound, or mood.",47,,,,,
solicitous,1.60,1163,Norman - category 2; form 9,nope,yes,Allport Odbert - Column I,32764,anxiously or tenderly concerned or attentive.,85,,,,,
solitary,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,8980,"being, traveling, or living without others; alone; unaccompanied.",65,,,,,
somber,2.80,1164,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,13202,"gloomy, melancholy, or dismal.",30,,,,,
soothing,NA,NA,dropped,nope,nope,Allport Odbert - Column III,10989,having a calming or tranquilizing effect; bringing comfort or relief.,69,,,,,
sophisticated,5.50,1165,Norman - category 3; form 8,nope,yes,Allport Odbert - Column III,3624,having knowledge or experience of the world or of culture.,58,,,,,
sophomoric,NA,NA,Norman - category 2; form 9,nope,nope,Allport Odbert - Column III,49870,displaying intellectual pretentiousness or confidence despite being poorly informed or immature.,96,,,,,
sorry,NA,NA,dropped,nope,nope,Allport Odbert - Column II,1080,"feeling regret, pity, sympathy, or the like.",44,,,,,
soulful,NA,NA,Norman - category 3; form 10,nope,nope,Allport Odbert - Column I,21362,expressive of or characterized by deep feeling or profound emotion.,67,,,,,
sour,3.10,1166,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,6409,"resentful, bitter, morose, or otherwise bad-tempered.",53,,,,,
spare,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,7276,barely sufficient; meager; lean.,32,,,,,
sparkling,2.60,1167,Norman - category 3; form 7,nope,yes,Allport Odbert - Column III,10563,vivacious and witty.,20,,,,,
specific,NA,NA,dropped,nope,nope,Allport Odbert - Column I,862,exact and precise; particular.,30,,,,,
speedy,3.00,1168,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,13812,characterized by swift movement or rapidity of accomplishment.,62,,,,,
spineless,4.40,1169,Norman - category 3; form 8,nope,yes,Allport Odbert - Column III,44950,"having no courage, conviction, or will power; irresolute.",57,,,,,
spirited,4.10,1170,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,16710,"full of vigor, courage, or enthusiasm.",38,,,,,
spiritless,1.80,1171,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,76136,"without energy, enthusiasm, or courage.",39,,,,,
spiritual,5.10,1172,NA,yes,nope,Allport Odbert - Column I,2252,"pertaining to the soul, or the immaterial higher self.",54,,,,,
spiteful,4.10,1173,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,38253,showing or caused by malice.,27,,,,,
splenetic,NA,NA,Norman - category 2; form 9,nope,nope,Allport Odbert - Column I,95738,ill-tempered or spiteful.,25,,,,,
spoiled,NA,NA,NA,yes,nope,Allport Odbert - Column IV,17761,having a misguided sense that one is entitled to have one's desires and wishes gratified.,89,,,,,
spontaneous,5.50,1174,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,8522,"free, natural, and unconstrained in behavior.",45,,,,,
sporting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,7757,accepting various difficult situations with grace and dignity.,62,,,,,
sportsmanlike,3.90,1175,Norman - category 2; form 7,nope,yes,Allport Odbert - Column I,82732,exhibiting or calling for fair play.,52,,,,,
sporty,NA,NA,dropped,nope,nope,Allport Odbert - Column I,21296,jaunty or flashy; showy.,24,,,,,
sprightly,1.90,1176,Norman - category 2; form 8,nope,yes,Allport Odbert - Column I,42954,"lively, spirited, or energetic.",31,,,,,
spritely,NA,NA,new,nope,nope,new,85199,lively; full of energy.,23,,,,,
spry,2.30,1177,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,40949,agile and briskly energetic in motion; nimble.,46,,,,,
spunky,3.60,1178,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,37484,"courageous, spirited, or determined.",36,,,,,
sputtering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,23081,speaking or exclaiming rapidly and explosively.,47,,,,,
spying,NA,NA,dropped,nope,nope,Allport Odbert - Column II,17024,"observing secretly and carefully, for hostile reasons or out of suspicion of wrongdoing.",88,,,,,
squeamish,4.00,1179,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,31635,too easily shocked or offended in matters of morality or principles.,68,,,,,
stable,4.90,1180,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,3268,"consistent or steady in character, mood, or behavior.",76,,,,,
stalwart,1.60,1181,Norman - category 2; form 7,nope,yes,Allport Odbert - Column I,25640,resolute; loyal; reliable.,26,,,,,
standoffish,3.90,1182,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,51582,not friendly; indifferent; cold.,32,,,,,
star-crossed,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,50035,destined to suffer an unhappy end; ill-fated; unlucky.,54,,,,,
stark,NA,NA,dropped,nope,nope,Allport Odbert - Column III,8635,without decoration or softening effects; plain; simple.,55,,,,,
startling,NA,NA,dropped,nope,nope,Allport Odbert - Column III,8854,"alarming, surprising, or taking aback.",38,,,,,
stately,NA,NA,dropped,nope,nope,Allport Odbert - Column I,16037,dignified.,10,,,,,
statesmanlike,1.80,1183,Norman - category 3; form 14,nope,yes,not included,56913,a person who exhibits great wisdom and ability in dealing with important public issues.,86,,,,,
statistical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,4606,concerned with numerical information for understanding a complex issue or testing hypotheses.,93,,,,,
steadfast,2.90,1184,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,22577,not likely to change; firmly established.,41,,,,,
steady,3.90,1185,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,3366,unwavering in intention; resolute.,34,,,,,
steadying,NA,NA,dropped,nope,nope,Allport Odbert - Column III,41534,unshaking; firm.,16,,,,,
stealthy,NA,NA,dropped,nope,nope,Allport Odbert - Column I,32082,done or acting in a secretive or covert way; sneaky; furtive.,61,,,,,
steely,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,21342,"severe, cold, or hard.",34,,,,,
stentorian,NA,NA,dropped,nope,nope,Allport Odbert - Column I,63598,extremely loud and powerful.,28,,,,,
stern,4.50,1186,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,11266,firm and uncompromising.,24,,,,,
stiff,NA,NA,dropped,nope,nope,Allport Odbert - Column I,5338,lacking ease in expression or movement; excessively formal; awkward; constrained.,81,,,,,
stifling,NA,NA,dropped,nope,nope,Allport Odbert - Column III,24176,holding back; inhibiting.,25,,,,,
stinging,NA,NA,dropped,nope,nope,Allport Odbert - Column III,16359,"causing to feel a sudden, sharp, physical or emotional pain.",60,,,,,
stingy,5.10,1187,Norman - category 1; form 6,nope,yes,Allport Odbert - Column III,28189,spending or giving grudgingly or as little as possible; miserly.,64,,,,,
stodgy,NA,NA,Norman - category 3; form 7,nope,nope,Allport Odbert - Column III,33109,dull and uninspired.,20,,,,,
stoic,NA,NA,Norman - category 2; form 8,nope,nope,Allport Odbert - Column I,23884,impassive; showing little or no reaction to painful or pleasant experiences; unmoved.,85,,,,,
stolid,NA,NA,Norman - category 2; form 10,nope,nope,Allport Odbert - Column I,35894,neither feeling nor showing much range of emotion; impassive.,61,,,,,
stormy,2.40,1188,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,16388,characterized by violent emotions or actions.,45,,,,,
stout-hearted,1.40,1189,Norman - category 3; form 7,nope,yes,Allport Odbert - Column III,NA,brave and determined; not easily frightened or discouraged; dauntless.,70,,,,,
straightforward,5.10,1190,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,7984,free from ambiguity; clear; direct.,35,,,,,
strait-laced,3.70,1191,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,87305,"tightly bound by morality, convention, or received opinion; strict or prudish.",78,,,,,
strange,NA,NA,NA,yes,nope,Allport Odbert - Column III,1802,unusual; curious; odd.,22,,,,,
strict,5.90,1192,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,4935,imposing severe discipline or requiring rigorous effort; unyielding; demanding.,79,,,,,
stringent,2.80,1193,Norman - category 2; form 8,nope,yes,Allport Odbert - Column IV,12500,rigorous or exacting; strict.,29,,,,,
strong,NA,NA,NA,yes,nope,Allport Odbert - Column I,548,"intense; showing great force, energy, or power.",47,,,,,
strong-minded,3.40,1194,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,58750,having a determined will; resolute.,43,,,,,
strong-willed,NA,NA,new,nope,nope,new,31188,determined to do as one wants even if other people advise against it.,69,,,,,
stubborn,6.20,1195,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,9893,unreasonably resistant to change; obstinate; willful.,96,,,,,
stuck-up,5.80,1196,Norman - category 3; form 11,nope,yes,not included,59286,snobbish or vain; conceited.,28,,,,,
studious,5.20,1197,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,37177,paying diligent attention; taking heed.,39,,,,,
stuffy,4.40,1198,Norman - category 3; form 7,nope,yes,Allport Odbert - Column III,21251,"dull, pretentious, or excessively formal or conservative.",57,,,,,
stupid,NA,NA,NA,yes,nope,Allport Odbert - Column III,2917,"dull or slow in intellect, wit, awareness, or the like.",55,,,,,
sturdy,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,8726,"strong, hardy, or robust, as a person, tree, or house.",54,,,,,
stylish,NA,NA,dropped,nope,nope,Allport Odbert - Column I,11085,following the current fashion; chic.,36,,,,,
suave,3.60,1199,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,29556,polished and urbane.,20,,,,,
subdued,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,15857,"restrained in emotion, spirit, or intensity.",44,,,,,
subjective,2.60,1200,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,7204,"affected or shaped by personal experience, beliefs, and feelings.",65,,,,,
submissive,4.00,1201,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,27335,unresisting; obedient; docile.,61,,,,,
subservient,NA,NA,dropped,nope,nope,Allport Odbert - Column I,29594,excessively submissive.,23,,,,,
substantive,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,9171,real; actual.,13,,,,,
subversive,NA,NA,dropped,nope,nope,Allport Odbert - Column III,15683,undermining an established authority.,37,,,,,
successful,NA,NA,NA,yes,nope,Allport Odbert - Column III,1062,having attained that which is desired or intended.,63,,,,,
sugary,1.60,1202,Norman - category 3; form 8,nope,yes,Allport Odbert - Column IV,24356,"extremely sweet, especially so as to deceive.",45,,,,,
suggestible,2.60,1203,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,66601,easily influenced; impressionable.,34,,,,,
sulky,4.10,1204,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,44829,unpleasant or overcast.,23,,,,,
sullen,3.40,1205,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,17481,"dark, gloomy, or dispiriting.",29,,,,,
sultry,3.50,1206,Norman - category 1; form 7,nope,yes,Allport Odbert - Column IV,21673,inspiring sensual attraction.,29,,,,,
sunny,2.70,1207,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,5878,cheerful; bright.,17,,,,,
supercilious,NA,NA,Norman - category 2; form 9,nope,nope,Allport Odbert - Column I,55339,"showing an arrogant disregard, as a look, manner, or person.",60,,,,,
superficial,5.60,1208,Norman - category 3; form 10,nope,yes,Allport Odbert - Column III,11145,attending only to what lies on the surface; not thorough or complete.,69,,,,,
superior,NA,NA,dropped,nope,nope,Allport Odbert - Column III,4013,showing haughtiness or disdain toward others.,45,,,,,
supersensitive,3.40,1209,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,65692,"very easily offended or upset, as by criticism or insult.",57,,,,,
superstitious,4.80,1210,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,20010,having unjustified beliefs.,37,,,,,
supportive,NA,NA,NA,yes,nope,not included,5492,providing assistance or comfort.,32,,,,,
surly,3.30,1211,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,25437,ill-tempered and rude; unfriendly.,34,,,,,
surprised,NA,NA,NA,yes,nope,not included,1943,"astonished about an event, fact, or thing.",50,,,,,
surprising,NA,NA,dropped,nope,nope,Allport Odbert - Column III,3090,unexpected; unanticipated.,26,,,,,
suspicious,4.40,1212,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,5692,tending to cause or evoke questions or doubt.,45,,,,,
swaggering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,38316,walking or moving in a proud or arrogant manner; strutting.,58,,,,,
swanky,NA,NA,dropped,nope,nope,Allport Odbert - Column III,38066,elegantly fashionable or smart.,38,,,,,
sweet,NA,NA,NA,yes,nope,Allport Odbert - Column I,1667,gentle or pleasant in temperament; good-natured; lovable.,57,,,,,
swellheaded,2.20,1213,Norman - category 3; form 12,nope,yes,not included,NA,a conceited person.,48,,,,,
sycophantic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,68009,flattering and fawning over superiors in order to get favors or advance position.,88,,,,,
sympathetic,4.90,1214,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,6735,feeling or showing the ability to share in others' feelings.,60,,,,,
systematic,3.60,1215,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,6021,characterized by order and organization; methodical.,52,,,,,
taciturn,1.70,1216,Norman - category 2; form 13,nope,yes,Allport Odbert - Column I,36025,habitually silent and uncommunicative.,38,,,,,
tacky,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,20483,in poor taste or style; shabby.,31,,,,,
tactful,3.90,1217,Norman - category 1; form 14,nope,yes,Allport Odbert - Column I,38168,having or displaying sensitivity in dealing with others or with difficult issues.,26,,,,,
tactical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,9536,showing skill in the careful planning of one's actions.,25,,,,,
tactile,NA,NA,dropped,nope,nope,Allport Odbert - Column I,17424,capable of being perceived through touch; tangible.,51,,,,,
tactless,3.60,1218,Norman - category 1; form 11,nope,yes,Allport Odbert - Column I,62206,having no sensitivity in dealing with others or with difficult issues.,29,,,,,
talented,NA,NA,NA,yes,nope,Allport Odbert - Column III,4991,possessing a natural aptitude or gift for something.,52,,,,,
talkative,5.90,1219,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,26137,tending to talk often and at length; fond of talking.,53,,,,,
tall,NA,NA,NA,yes,nope,Allport Odbert - Column IV,1842,not credible; full of exaggeration.,49,,,,,
tame,3.70,1220,Norman - category 3; form 11,nope,yes,Allport Odbert - Column III,19381,"docile or submissive, sometimes to excess.",42,,,,,
tasteful,4.00,1221,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,25621,showing good aesthetic judgment or appropriate behavior.,25,,,,,
tasteless,3.50,1222,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,26919,marked by poor taste; inappropriate.,36,,,,,
tawdry,NA,NA,dropped,nope,nope,Allport Odbert - Column III,33060,falsely showy; cheap and gaudy.,31,,,,,
teachable,2.20,1223,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,37318,receptive to instruction or training.,37,,,,,
tearful,NA,NA,dropped,nope,nope,Allport Odbert - Column I,23944,crying or inclined to cry; piteous; sad.,47,,,,,
teary,NA,NA,dropped,nope,nope,Allport Odbert - Column I,33721,weeping; crying.,31,,,,,
teasing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,10372,making fun of or attempting to provoke in a playful or mocking way.,67,,,,,
technical,NA,NA,dropped,nope,nope,Allport Odbert - Column I,2177,concerned with specialized skills or techniques.,48,,,,,
temperamental,4.80,1224,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,26410,overly excitable or irritable.,30,,,,,
temperate,2.50,1225,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,16882,characterized by moderation or self-control; restrained.,56,,,,,
tempestuous,2.30,1226,Norman - category 2; form 11,nope,yes,Allport Odbert - Column I,40147,characterized by disturbance or commotion; stormy; turbulent.,61,,,,,
temptable,1.90,1227,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,NA,"susceptible to temptation, doing something wrong or unwise.",58,,,,,
tenacious,3.80,1228,Norman - category 2; form 14,nope,yes,Allport Odbert - Column I,21205,holding on or tending to hold on strongly or persistently.,87,,,,,
tender,3.90,1229,Norman - category 3; form 11,nope,yes,Allport Odbert - Column I,4468,expressing love or kindness in a gentle way.,44,,,,,
tender-hearted,3.50,1230,Norman - category 1; form 12,nope,yes,Allport Odbert - Column I,87426,"inclined to feel love, pity, sorrow, or compassion.",91,,,,,
tenderminded,2.50,1231,Norman - category 3; form 13,nope,yes,not included,NA,"marked by idealism, optimism, and dogmatism.",44,,,,,
tense,5.60,1232,NA,yes,nope,Allport Odbert - Column I,8033,unable to relax physically or emotionally.,42,,,,,
tentative,3.50,1233,Norman - category 3; form 14,nope,yes,not included,10592,hesitant or unsure.,19,,,,,
terrible,NA,NA,NA,yes,nope,Allport Odbert - Column III,2048,extremely bad; unpleasant; unacceptable.,40,,,,,
terrific,NA,NA,NA,yes,nope,Allport Odbert - Column III,5077,very good; splendid.,20,,,,,
terrifying,NA,NA,dropped,nope,nope,Allport Odbert - Column III,9528,filling with great fear or terror.,34,,,,,
terse,2.90,1234,Norman - category 2; form 11,nope,yes,Allport Odbert - Column I,26748,effectively brief and to the point; concise; pithy.,51,,,,,
testy,4.10,1235,Norman - category 2; form 12,nope,yes,Allport Odbert - Column I,29940,easily annoyed or angered; irritable; touchy.,45,,,,,
thankful,NA,NA,NA,yes,nope,Allport Odbert - Column I,10897,feeling or showing gratitude.,29,,,,,
thankless,NA,NA,dropped,nope,nope,Allport Odbert - Column I,38239,not feeling or showing appreciation; ungrateful.,48,,,,,
theatrical,NA,NA,dropped,nope,nope,Allport Odbert - Column III,9764,unnaturally extravagant in behavior and expression.,51,,,,,
theoretical,NA,NA,new,nope,nope,new,4149,speculative; tending to seek or produce explanations.,38,,,,,
thick,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,1928,stupid; dull.,13,,,,,
thick-skinned,5.10,1237,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,59010,insensitive to criticism or results.,28,,,,,
thick-witted,2.00,1238,Norman - category 3; form 14,nope,yes,Allport Odbert - Column III,NA,slow to comprehend; dull or stupid.,35,,,,,
thickheaded,3.90,1236,Norman - category 3; form 12,nope,yes,Allport Odbert - Column III,NA,"not easily hurt or offended by criticism, insults, or the like.",63,,,,,
thin,NA,NA,NA,yes,nope,Allport Odbert - Column IV,1817,flimsy; insubstantial.,22,,,,,
thin-skinned,4.00,1239,Norman - category 3; form 12,nope,yes,Allport Odbert - Column I,42007,"easily hurt or offended by criticism, insults, or the like; touchy.",67,,,,,
thinking,NA,NA,NA,yes,nope,Allport Odbert - Column II,957,contemplative; studious.,24,,,,,
thorny,NA,NA,Norman - category 3; form 14,nope,nope,Allport Odbert - Column IV,20945,difficult or painful to approach or deal with.,46,,,,,
thorough,4.50,1240,Norman - category 1; form 11,nope,yes,Allport Odbert - Column I,7476,complete with regard to every detail.,9,,,,,
thoroughgoing,1.40,1241,Norman - category 3; form 12,nope,yes,Allport Odbert - Column I,45249,marked by thoroughness or completeness.,54,,,,,
thoughtful,5.90,1242,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,7243,giving careful attention to the needs of others; considerate.,61,,,,,
thoughtless,5.60,1243,Norman - category 1; form 14,nope,yes,Allport Odbert - Column I,30457,not considering consequences; careless; reckless.,54,,,,,
threatening,NA,NA,dropped,nope,nope,Allport Odbert - Column II,4326,having a hostile or deliberately frightening quality or manner.,54,,,,,
thriftless,1.70,1244,Norman - category 3; form 11,nope,yes,Allport Odbert - Column I,NA,careless with money; improvident; wasteful.,59,,,,,
thrifty,4.60,1245,Norman - category 1; form 12,nope,yes,Allport Odbert - Column I,32043,prudent in the management and spending of money; economical.,60,,,,,
thundering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,31680,expressing oneself loudly and vehemently.,41,,,,,
thunderous,NA,NA,Norman - category 3; form 14,nope,nope,Allport Odbert - Column III,24253,very powerful or intense.,25,,,,,
ticklish,NA,NA,dropped,nope,nope,Allport Odbert - Column I,44824,sensitive to touch or irritation.,35,,,,,
tidy,4.70,1246,Norman - category 1; form 11,nope,yes,Allport Odbert - Column I,13360,"neat and orderly in appearance, arrangement, manner of proceeding, or the like.",79,,,,,
tight,3.10,1247,Norman - category 3; form 13 (revised by Goldberg & Norman from 'tightwad'),nope,yes,Allport Odbert - Column I,3683,reluctant to spend or share; stingy.,47,,,,,
tight-lipped,4.40,1248,Norman - category 3; form 12,nope,yes,not included,33489,not inclined to talk or make disclosures; secretive or reticent.,64,,,,,
timid,5.30,1249,Norman - category 1; form 14,nope,yes,Allport Odbert - Column I,15707,hesitant to face danger or difficulties; fearful.,49,,,,,
timorous,1.60,1250,Norman - category 2; form 11,nope,yes,Allport Odbert - Column I,64587,showing or marked by fear; fearful; timid.,42,,,,,
tiny,NA,NA,NA,yes,nope,Allport Odbert - Column IV,1319,extremely little; minute; miniature.,36,,,,,
tired,NA,NA,NA,yes,nope,Allport Odbert - Column II,2082,weary; impatient; bored.,51,,,,,
tireless,3.30,1251,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,21671,not easily wearied; having great energy or stamina.,51,,,,,
tolerant,5.00,1252,Norman - category 1; form 11,nope,yes,Allport Odbert - Column I,12432,"willing to accept and not oppose the beliefs, characteristics, or acts of others.",81,,,,,
torpid,NA,NA,Norman - category 2; form 14,nope,nope,Allport Odbert - Column I,55806,"dormant or inactive, as in hibernation.",39,,,,,
touchy,5.30,1253,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,23513,easily irritated or offended; sensitive.,40,,,,,
tough,5.50,1254,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,1170,capable of enduring adversity or hardship.,42,,,,,
tough-minded,3.90,1255,Norman - category 3; form 12,nope,yes,not included,38989,"not sentimental, timid, or easily swayed; shrewdly practical.",61,,,,,
traditional,5.10,1256,Norman - category 1; form 14,nope,yes,Allport Odbert - Column I,844,of a person adhering to cultural habits and a usual way of doing things.,72,,,,,
tragic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,5318,extremely sad; mournful.,24,,,,,
traitorous,NA,NA,dropped,nope,nope,Allport Odbert - Column I,48057,disloyal; treasonous.,58,,,,,
tranquil,NA,NA,new,nope,nope,new,18538,free from disturbance; calm.,28,,,,,
transgressive,NA,NA,Norman - category 3; form 11,nope,nope,Allport Odbert - Column I,40365,"violating a law, religious commandment, or the like; commiting a crime or sin.",78,,,,,
transparent,4.70,1257,Norman - category 3; form 12,nope,yes,Allport Odbert - Column III,7410,easily seen through or detected; obvious.,41,,,,,
treacherous,2.60,1258,Norman - category 1; form 13,nope,yes,Allport Odbert - Column I,14921,betraying or likely to betray trust; traitorous; faithless.,59,,,,,
tremulous,NA,NA,dropped,nope,nope,Allport Odbert - Column I,38005,"timid, anxious, or fearful.",27,,,,,
trenchant,NA,NA,Norman - category 3; form 11,nope,nope,Allport Odbert - Column I,44045,"incisive or penetrating, as perception or wit.",46,,,,,
trendy,NA,NA,new,nope,nope,new,13318,of or relating to the latest style or mode.,43,,,,,
tricky,3.60,1259,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,8771,given to or marked by deception; wily.,50,,,,,
trim,NA,NA,dropped,nope,nope,Allport Odbert - Column I,11537,"having a neat, orderly appearance or outline.",45,,,,,
troubled,NA,NA,NA,yes,nope,Allport Odbert - Column II,6110,concerned and upset; disturbed.,31,,,,,
troublesome,NA,NA,dropped,nope,nope,Allport Odbert - Column III,13752,"causing anxiety, worry, or bother.",34,,,,,
truculent,NA,NA,Norman - category 2; form 13,nope,nope,Allport Odbert - Column I,58388,extremely hostile or belligerent; inclined to fight.,52,,,,,
trusted,NA,NA,NA,yes,nope,Allport Odbert - Column III,12037,regarded as reliable or truthful.,32,,,,,
trustful,3.70,1260,Norman - category 1; form 12,nope,yes,Allport Odbert - Column I,70347,"having or marked by a total belief in the reliability, truth, ability, or strength of someone.",32,,,,,
trusting,NA,NA,NA,yes,nope,Allport Odbert - Column II,16826,believing in others' honesty or sincerity; having confidence.,41,,,,,
trustworthy,5.70,1261,Norman - category 1; form 14,nope,yes,Allport Odbert - Column III,18268,worthy or deserving of trust and confidence; steadily dependable; reliable.,75,,,,,
trusty,NA,NA,dropped,nope,nope,Allport Odbert - Column I,27333,faithful; reliable.,32,,,,,
truthful,5.00,1262,Norman - category 1; form 11,nope,yes,Allport Odbert - Column I,15935,tending to speak accurately; habitually honest.,50,,,,,
truthless,1.70,1263,Norman - category 3; form 12,nope,yes,Allport Odbert - Column I,NA,"counterfactual, specious, spurious, wrong.",85,,,,,
twisted,NA,NA,dropped,nope,nope,Allport Odbert - Column III,10555,misconstrued or deliberately distorted.,39,,,,,
twitchy,1.60,1264,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,42712,edgy or nervously restless; jumpy.,34,,,,,
tyrannical,2.90,1265,Norman - category 1; form 12,nope,yes,Allport Odbert - Column I,29229,imposing one's will on others by threat or force; despotic; oppressive.,71,,,,,
ugly,NA,NA,dropped,nope,nope,Allport Odbert - Column I,4027,threatening or troublesome; hostile; offensive.,47,,,,,
ultraconservative,3.60,1266,Norman - category 3; form 14,nope,yes,Allport Odbert - Column III,49458,"having very traditional beliefs, especially political beliefs.",63,,,,,
ultracritical,2.60,1267,Norman - category 3; form 11,nope,yes,Allport Odbert - Column I,NA,extremely critical or judgmental.,33,,,,,
ultrademocratic,1.40,1268,Norman - category 3; form 12,nope,yes,Allport Odbert - Column I,NA,favoring or characterized by social equality; egalitarian.,59,,,,,
ultrafastidious,1.20,1269,Norman - category 3; form 14,nope,yes,Allport Odbert - Column I,NA,extremely or extraordinarily attentive to neatness or detail.,79,,,,,
ultraintellectual,1.30,1270,Norman - category 3; form 11,nope,yes,Allport Odbert - Column I,NA,possessing an extremely developed ability to reason and understand abstract or academic matters.,59,,,,,
ultrarefined,1.60,1271,Norman - category 3; form 12,nope,yes,Allport Odbert - Column III,NA,"having or showing a very high level of culture, education, or taste.",67,,,,,
ultrareligious,2.50,1272,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,NA,extremely devout or pious.,29,,,,,
ultrasensual,1.50,1273,Norman - category 3; form 11,nope,yes,Allport Odbert - Column I,NA,beyond the range or reach of the senses.,39,,,,,
ultrasentimental,1.40,1274,Norman - category 3; form 12,nope,yes,Allport Odbert - Column I,NA,"strongly prompted by feelings of tenderness, sadness, or nostalgia.",67,,,,,
ultraspiritual,1.30,1275,Norman - category 3; form 13,nope,yes,Allport Odbert - Column I,NA,strongly affecting the human spirit or soul as opposed to material or physical things.,85,,,,,
unabashed,NA,NA,dropped,nope,nope,Allport Odbert - Column II,27212,"not feeling or showing embarrassment, uneasiness, or shame.",59,,,,,
unable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,2395,"lacking the necessary power, skill, or means; incapable.",66,,,,,
unaccessible,3.30,1276,Norman - category 1; form 11,nope,yes,Allport Odbert - Column III,NA,capable of being reached only with great difficulty or not at all.,65,,,,,
unaccommodating,3.50,1277,Norman - category 3; form 12,nope,yes,Allport Odbert - Column III,NA,not in harmony with the wishes or demands of others; unhelpful.,62,,,,,
unaccomplished,3.30,1278,Norman - category 3; form 13,nope,yes,Allport Odbert - Column III,100330,showing little skill or follow through.,39,,,,,
unaccountable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,34135,not subject to being held responsible.,55,,,,,
unadaptable,2.50,1279,Norman - category 1; form 14,nope,yes,Allport Odbert - Column III,NA,not capable of adjusting to new conditions or situations.,56,,,,,
