TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
attention-seeking,NA,NA,new,nope,nope,new,97527,behaving in a way that is intended to elicit acknowledgement or validation from others.,81,,,,,
attentive,NA,NA,NA,yes,nope,Allport Odbert - Column II,13043,thoughtful of the needs or comfort of others; considerate or devoted.,69,,,,,
attractive,NA,NA,NA,yes,nope,Allport Odbert - Column III,3285,having qualities that draw others near.,39,,,,,
audacious,2.50,61,Norman - category 2; form 2,nope,yes,Allport Odbert - Column III,23333,daring; very bold or adventurous.,33,,,,,
austere,1.60,62,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,19624,having a stern or solemn appearance or manner.,46,,,,,
authentic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,6052,"real, genuine, or valid.",24,,,,,
authoritarian,NA,NA,new,nope,nope,new,8898,of a person demanding obedience; domineering.,45,,,,,
authoritative,4.90,63,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,11989,"having the power to influence or command thought, opinion, or behavior.",71,,,,,
autocratic,2.40,64,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,21633,behaving like one who has undisputed influence or power.,56,,,,,
autonomous,3.50,65,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,9602,free and independent; self-governing.,37,,,,,
avaricious,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,53620,"greedy, especially for wealth; grasping.",60,,,,,
average,NA,NA,NA,yes,nope,Allport Odbert - Column III,1311,usual or typical; not extreme.,30,,,,,
awake,NA,NA,NA,yes,nope,Allport Odbert - Column II,5430,keenly aware; alert.,20,,,,,
aware,NA,NA,dropped,nope,nope,Allport Odbert - Column II,1529,knowing or mindful; conscious.,30,,,,,
aweless,1.10,66,Norman - category 3; form 1,nope,yes,Allport Odbert - Column I,NA,feeling none of the wonder or veneration inspired by authority or by the sacred or sublime.,91,,,,,
awesome,NA,NA,NA,yes,nope,Allport Odbert - Column III,7560,inspiring wonder; terrific; excellent.,38,,,,,
